nome,cpf,idade,data,endereco,bairro,estado
Nome inválido,CPF inválido,,,endereco inválido,Desconhecido,AP
Calebe Santos,CPF inválido,,,endereco inválido,Desconhecido,PB
Maria Julia Castro,CPF inválido,,,endereco inválido,Desconhecido,AL
Arthur Da Rosa,CPF inválido,,,endereco inválido,Desconhecido,SE
Juan Pereira,CPF inválido,,,endereco inválido,Desconhecido,BA
Nome inválido,CPF inválido,,,endereco inválido,Desconhecido,SP
Maria Clara Araújo,CPF inválido,,,endereco inválido,Desconhecido,RO
Vitória Oliveira,CPF inválido,,,endereco inválido,Desconhecido,GO
Benjamin Oliveira,CPF inválido,,,endereco inválido,Desconhecido,CE
Pietro Barros,CPF inválido,,,endereco inválido,Desconhecido,PB
Samuel Cavalcanti,CPF inválido,,,endereco inválido,Desconhecido,TO
Ian Da Costa,CPF inválido,,,endereco inválido,Desconhecido,PB
Dr. Emanuel Costa,CPF inválido,,,endereco inválido,Desconhecido,RJ
Larissa Da Cruz,CPF inválido,,,endereco inválido,Desconhecido,RR
Diogo Carvalho,CPF inválido,,,endereco inválido,Desconhecido,RS
Sr. Anthony Almeida,CPF inválido,,,endereco inválido,Desconhecido,RJ
Clara Martins,CPF inválido,,,endereco inválido,Desconhecido,MG
Nome inválido,CPF inválido,,,endereco inválido,Desconhecido,PE
Sr. Calebe Lopes,CPF inválido,,,endereco inválido,Desconhecido,RO
Miguel Monteiro,CPF inválido,,,endereco inválido,Desconhecido,SE
Nome inválido,CPF inválido,,,endereco inválido,Desconhecido,AM
João Gabriel Araújo,CPF inválido,,,endereco inválido,Desconhecido,MT
Sr. Nicolas Azevedo,CPF inválido,,,endereco inválido,Desconhecido,AC
Kamilly Caldeira,CPF inválido,,,endereco inválido,Desconhecido,AP
Renan Araújo,CPF inválido,,,endereco inválido,Desconhecido,CE
Vicente Nascimento,CPF inválido,,,endereco inválido,Desconhecido,DF
Isaac Rocha,CPF inválido,,,endereco inválido,Desconhecido,PE
Julia Das Neves,CPF inválido,,,endereco inválido,Desconhecido,ES
Breno Rodrigues,CPF inválido,,,endereco inválido,Desconhecido,AM
Isabel Nogueira,CPF inválido,,,endereco inválido,Desconhecido,TO
Anthony Araújo,CPF inválido,,,endereco inválido,Desconhecido,AP
Sra. Marina Da Cunha,CPF inválido,,,endereco inválido,Desconhecido,RN
